kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	BELUM_TIDAK_BEKERJA	MENGURUS_RUMAH_TANGGA	PELAJAR_MAHASISWA	PENSIUNAN	PEGAWAI_NEGERI_SIPIL	TENTARA_NASIONAL_INDONESIA	KEPOLISIAN_RI	PERDAGANGAN	PETANI_PEKEBUN	PETERNAK	NELAYAN_PERIKANAN	INDUSTRI	KONSTRUKSI	TRANSPORTASI	KARYAWAN_SWASTA	KARYAWAN_BUMN	KARYAWAN_BUMD	KARYAWAN_HONORER	BURUH_HARIAN_LEPAS	BURUH_TANI_PERKEBUNAN	BURUH_NELAYAN_PERIKANAN	BURUH_PETERNAKAN	PEMBANTU_RUMAH_TANGGA	TUKANG_CUKUR	TUKANG_LISTRIK	TUKANG_BATU	TUKANG_KAYU	TUKANG_SOL_SEPATU	TUKANG_LAS_PANDAI_BESI	TUKANG_JAHIT	TUKANG_GIGI	PENATA_RIAS	PENATA_BUSANA	PENATA_RAMBUT	MEKANIK	SENIMAN	TABIB	PARAJI	PERANCANG_BUSANA	PENTERJEMAH	IMAM_MESJID	PENDETA	PASTOR	WARTAWAN	USTADZ_MUBALIGH	JURU_MASAK	PROMOTOR_ACARA	ANGGOTA_DPR_RI	ANGGOTA_DPD	ANGGOTA_BPK	PRESIDEN	WAKIL_PRESIDEN	ANGGOTA_MAHKAMAH_KONSTITUSI	ANGGOTA_KABINET_KEMENTERIAN	DUTA_BESAR	GUBERNUR	WAKIL_GUBERNUR	BUPATI	WAKIL_BUPATI	WALIKOTA	WAKIL_WALIKOTA	ANGGOTA_DPRD_PROVINSI	ANGGOTA_DPRD_KABUPATEN_KOTA	DOSEN	GURU	PILOT	PENGACARA	NOTARIS	ARSITEK	AKUNTAN	KONSULTAN	DOKTER	BIDAN	PERAWAT	APOTEKER	PSIKIATER_PSIKOLOG	PENYIAR_TELEVISI	PENYIAR_RADIO	PELAUT	PENELITI	SOPIR	PIALANG	PARANORMAL	PEDAGANG	PERANGKAT_DESA	KEPALA_DESA	BIARAWATI	WIRASWASTA	LAINNYA	JML_DUK
7371	MAKASSAR	737109	PANAKKUKANG	7371091009	KARUWISI UTARA	4790	4744	3870	1626	1265	91	206	11	11	365	6	0	2	0	2	9	795	16	8	16	681	1	0	0	4	1	0	11	2	0	3	5	0	0	0	1	2	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	26	0	2	0	0	0	1	7	2	3	0	0	0	0	3	0	41	0	0	23	0	0	0	396	3	9534
7371	MAKASSAR	737109	PANAKKUKANG	7371091010	SINRI JALA	2356	2392	2049	661	644	44	129	3	9	221	1	0	0	0	0	1	265	11	0	16	317	0	0	1	11	0	0	3	0	0	0	7	0	0	0	0	4	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	2	0	2	0	0	8	2	3	0	0	0	0	6	0	59	0	0	12	0	0	0	236	0	4748
7371	MAKASSAR	737109	PANAKKUKANG	7371091011	PAROPO	10256	10062	7291	2690	3797	300	867	28	65	722	10	3	1	2	11	10	1945	110	10	73	639	6	1	1	22	8	4	10	5	0	1	12	0	3	2	0	16	1	0	1	0	0	2	15	0	7	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	63	133	0	6	3	2	1	5	57	2	23	1	0	0	0	33	0	95	1	0	8	0	0	0	1188	1	20318
7371	MAKASSAR	737110	TAMALATE	7371101001	BAROMBONG	7393	7432	6572	2925	1443	40	236	16	17	324	517	1	431	1	0	3	452	18	6	29	847	216	181	2	2	1	1	56	14	0	6	2	0	0	0	1	5	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	23	0	0	0	0	0	0	1	1	8	0	0	0	0	106	0	35	0	0	15	0	0	0	262	0	14825
7371	MAKASSAR	737110	TAMALATE	7371101002	MACCINI SOMBALA	11692	11276	10130	3980	2734	125	307	25	41	703	50	0	27	2	4	31	1356	34	3	38	2183	14	15	1	17	2	3	71	13	1	13	34	0	2	0	4	8	1	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	54	1	2	0	0	0	1	6	3	18	0	0	0	0	26	0	174	0	0	16	0	0	0	679	0	22968
7371	MAKASSAR	737110	TAMALATE	7371101003	JONGAYA	8882	8458	6795	2560	2650	239	589	719	62	496	12	0	2	3	3	10	1179	40	6	46	1102	3	1	0	21	2	1	19	10	0	4	7	0	1	1	1	4	5	0	0	0	0	1	2	2	4	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	114	0	4	5	1	0	2	28	1	34	3	0	1	0	12	0	85	0	0	5	0	0	2	410	1	17340
7371	MAKASSAR	737110	TAMALATE	7371101004	MANGASA	13264	13040	10257	3651	5252	228	1047	33	79	954	30	2	5	5	10	10	1557	126	22	86	1424	8	4	2	34	4	4	76	18	0	8	26	0	2	0	5	13	4	2	0	0	0	3	2	0	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	88	268	1	1	0	4	0	15	31	5	23	2	0	1	0	22	5	119	1	0	27	1	0	0	666	0	26304
7371	MAKASSAR	737110	TAMALATE	7371101005	BONGAYA	5289	5609	4302	1458	2012	157	485	13	52	449	15	0	2	3	15	1	1198	40	4	21	251	0	0	2	11	0	0	11	0	0	0	2	0	1	0	0	2	2	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	55	0	3	2	3	0	5	18	3	11	4	0	0	0	24	0	10	0	0	8	0	0	0	226	0	10898
7371	MAKASSAR	737110	TAMALATE	7371101006	BALANG BARU	11161	11093	8657	3797	3495	187	753	21	44	744	31	3	5	2	3	17	1647	66	4	45	1618	10	7	2	18	3	0	19	3	0	4	7	0	0	0	0	3	1	0	0	0	0	0	2	0	13	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	30	143	1	1	2	4	3	4	31	3	20	2	1	0	2	24	1	112	0	0	12	0	1	0	614	3	22254
7371	MAKASSAR	737110	TAMALATE	7371101007	MANNURUKI	6644	6508	4791	1638	2865	169	597	32	44	424	13	1	5	2	10	8	1142	80	6	42	487	1	5	1	21	0	2	23	3	0	5	5	0	0	0	4	9	2	0	0	0	1	1	2	0	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	43	122	0	3	4	5	0	11	26	3	20	1	0	0	0	10	5	43	0	0	6	0	0	0	396	0	13152
