kdkab	namakab	kdkec	namakec	kdkel	desakel	laki	perempuan	blm_kwn	kwn	cr_hdp	cr_mati	jml_duk
7302	BULUKUMBA	730208	KINDANG	7302082006	BENTENG PALIOI	2908	2944	2792	2844	42	174	5852
7302	BULUKUMBA	730208	KINDANG	7302082007	BALIBO	1766	1790	1706	1737	24	89	3556
7302	BULUKUMBA	730208	KINDANG	7302082008	GARUNTUNGAN	1693	1734	1803	1542	16	66	3427
7302	BULUKUMBA	730208	KINDANG	7302082009	ORO GADING	743	779	726	767	3	26	1522
7302	BULUKUMBA	730208	KINDANG	7302082010	SIPAENDRE	125	126	111	133	0	7	251
7302	BULUKUMBA	730208	KINDANG	7302082011	KAHAYYA	29	28	21	35	0	1	57
7302	BULUKUMBA	730208	KINDANG	7302082012	SOMBA PALIOI	7	7	7	6	0	1	14
7302	BULUKUMBA	730208	KINDANG	7302082013	SOPA	15	11	14	12	0	0	26
7302	BULUKUMBA	730209	UJUNG LOE	7302092001	DANNUANG	2707	2859	2836	2475	42	213	5566
7302	BULUKUMBA	730209	UJUNG LOE	7302092002	GARANTA	2587	2852	2648	2492	27	272	5439
7302	BULUKUMBA	730209	UJUNG LOE	7302092003	BALLEANGING	2618	2771	2510	2669	27	183	5389
7302	BULUKUMBA	730209	UJUNG LOE	7302092004	BALONG	2200	2210	2099	2108	46	157	4410
7302	BULUKUMBA	730209	UJUNG LOE	7302092005	SEPPANG	3002	3086	2966	2890	37	195	6088
7302	BULUKUMBA	730209	UJUNG LOE	7302092006	MANYAMPA	2619	2762	2540	2610	26	205	5381
7302	BULUKUMBA	730209	UJUNG LOE	7302092007	TAMATTO	2716	2818	2489	2840	34	171	5534
7302	BULUKUMBA	730209	UJUNG LOE	7302092008	PADANG LOANG	1778	1813	1747	1717	33	94	3591
7302	BULUKUMBA	730209	UJUNG LOE	7302092009	MANJALLING	1414	1481	1440	1310	31	114	2895
7302	BULUKUMBA	730209	UJUNG LOE	7302092010	LONRONG	836	866	815	832	3	52	1702
7302	BULUKUMBA	730209	UJUNG LOE	7302092011	SALEMBA	2206	2377	2322	2034	27	200	4583
7302	BULUKUMBA	730209	UJUNG LOE	7302092012	BIJAWANG	1933	2052	1999	1808	27	151	3985
7302	BULUKUMBA	730209	UJUNG LOE	7302092013	PACCARAMMENGANG	139	137	143	126	2	5	276
7302	BULUKUMBA	730210	RILAU ALE	7302102001	BONTOMANAI	2396	2535	2465	2171	52	243	4931
7302	BULUKUMBA	730210	RILAU ALE	7302102002	PALAMPANG	1974	2150	2099	1786	25	214	4124
7302	BULUKUMBA	730210	RILAU ALE	7302102003	BONTOBANGUN	1991	2125	2030	1871	34	181	4116
7302	BULUKUMBA	730210	RILAU ALE	7302102004	KARAMA	2079	2197	2085	1988	17	186	4276
7302	BULUKUMBA	730210	RILAU ALE	7302102005	BONTOLOHE	1649	1854	1794	1576	30	103	3503
7302	BULUKUMBA	730210	RILAU ALE	7302102006	BAJIMINASA	2208	2287	2217	2048	33	197	4495
7302	BULUKUMBA	730210	RILAU ALE	7302102007	BONTO MATENE	1309	1293	1247	1245	18	92	2602
7302	BULUKUMBA	730210	RILAU ALE	7302102008	TANAH HARAPAN	2574	2706	2681	2415	34	150	5280
7302	BULUKUMBA	730210	RILAU ALE	7302102009	BATUKAROPA	1948	2076	2016	1806	31	171	4024
7302	BULUKUMBA	730210	RILAU ALE	7302102010	BONTOHARU	1622	1713	1600	1622	16	97	3335
7302	BULUKUMBA	730210	RILAU ALE	7302102011	SWATANI	1692	1787	1770	1619	9	81	3479
7302	BULUKUMBA	730210	RILAU ALE	7302102012	BULOLOHE	1422	1470	1421	1323	24	124	2892
7302	BULUKUMBA	730210	RILAU ALE	7302102013	ANRANG	1828	1838	1905	1620	23	118	3666
7302	BULUKUMBA	730210	RILAU ALE	7302102014	PANGALLOANG	827	872	803	793	6	97	1699
7302	BULUKUMBA	730210	RILAU ALE	7302102015	TOPANDA	727	747	740	700	3	31	1474
7303	BANTAENG	730301	BISSAPPU	7303011001	BONTO MANAI	1681	1653	1556	1661	13	104	3334
7303	BANTAENG	730301	BISSAPPU	7303011002	BONTO LEBANG	2048	2096	1936	2043	25	140	4144
7303	BANTAENG	730301	BISSAPPU	7303011003	BONTO SUNGGU	4133	3977	4213	3560	67	270	8110
7303	BANTAENG	730301	BISSAPPU	7303011004	BONTO  ATU	1883	1966	2047	1680	21	101	3849
7303	BANTAENG	730301	BISSAPPU	7303011005	BONTO RITA	2974	3130	3039	2852	37	176	6104
7303	BANTAENG	730301	BISSAPPU	7303011006	BONTO LANGKASA	1087	1106	993	1144	2	54	2193
7303	BANTAENG	730301	BISSAPPU	7303011007	BONTO JAYA	1567	1599	1259	1766	30	111	3166
7303	BANTAENG	730301	BISSAPPU	7303012008	BONTO JAI	971	983	937	918	12	87	1954
7303	BANTAENG	730301	BISSAPPU	7303012009	BONTO CINDE	1092	1188	971	1214	6	89	2280
7303	BANTAENG	730301	BISSAPPU	7303012010	BONTO LOE	796	795	581	926	18	66	1591
7303	BANTAENG	730301	BISSAPPU	7303012012	BONTO SALLUANG	1062	1121	1052	1045	2	84	2183
7303	BANTAENG	730302	BANTAENG	7303021001	TAPPANJENG	2467	2525	2602	2089	48	253	4992
7303	BANTAENG	730302	BANTAENG	7303021002	PALLANTIKANG	5602	5746	5991	4982	57	318	11348
7303	BANTAENG	730302	BANTAENG	7303021003	LETTA	1759	1811	1816	1605	29	120	3570
7303	BANTAENG	730302	BANTAENG	7303021004	MALLILINGI	3045	3142	3155	2802	26	204	6187
7303	BANTAENG	730302	BANTAENG	7303021005	LEMBANG	3133	3051	3334	2643	23	184	6184
7303	BANTAENG	730302	BANTAENG	7303021006	LAMALAKA	2419	2571	2510	2246	19	215	4990
7303	BANTAENG	730302	BANTAENG	7303021007	KARATUANG	1232	1187	1187	1166	10	56	2419
7303	BANTAENG	730302	BANTAENG	7303021008	ONTO	2398	2435	2353	2306	19	155	4833
7303	BANTAENG	730302	BANTAENG	7303022009	KAYU LOE	901	937	963	785	7	83	1838
7303	BANTAENG	730303	EREMERASA	7303032001	ULUGALUNG	1774	1886	1800	1706	31	123	3660
7303	BANTAENG	730303	EREMERASA	7303032002	LONRONG	1607	1605	1550	1522	10	130	3212
7303	BANTAENG	730303	EREMERASA	7303032003	BARUA	1764	1762	1852	1573	10	91	3526
7303	BANTAENG	730303	EREMERASA	7303032004	KAMPALA	1873	1868	1818	1793	10	120	3741
7303	BANTAENG	730303	EREMERASA	7303032005	PA_BENTENGAN	1131	1145	1163	1032	12	69	2276
7303	BANTAENG	730303	EREMERASA	7303032006	MAPPILAWING	987	1052	978	978	11	72	2039
7303	BANTAENG	730303	EREMERASA	7303032007	PA_BUMBUNGAN	900	888	982	734	13	59	1788
7303	BANTAENG	730303	EREMERASA	7303032008	MAMAMPANG	1040	1100	1037	1000	18	85	2140
7303	BANTAENG	730303	EREMERASA	7303032009	PARANGLOE	444	457	440	406	10	45	901
7303	BANTAENG	730304	TOMPOBULU	7303041001	LEMBANG GANTARANG	2094	2052	2070	1872	33	171	4146
7303	BANTAENG	730304	TOMPOBULU	7303041003	BANYORANG	1649	1770	1703	1519	25	172	3419
7303	BANTAENG	730304	TOMPOBULU	7303041004	CAMPAGA	1129	1114	1026	1103	17	97	2243
7303	BANTAENG	730304	TOMPOBULU	7303041005	ERENG-ERENG	892	1022	1041	759	22	92	1914
7303	BANTAENG	730304	TOMPOBULU	7303042006	LABBO	1814	1911	1771	1727	31	196	3725
7303	BANTAENG	730304	TOMPOBULU	7303042007	PATTANETEANG	1000	1028	969	953	14	92	2028
7303	BANTAENG	730304	TOMPOBULU	7303042008	PATTALLASSANG	1860	1962	1706	1912	32	172	3822
7303	BANTAENG	730304	TOMPOBULU	7303042009	BONTO-BONTOA	1060	1128	1006	1058	22	102	2188
