kdkab	namakab	KDKEC	NAMA_KEC	KDKEL	DESA_KEL	LAKI	PEREMP	ISLAM	KRISTEN	KATHOLIK	HINDU	BUDHA	KONGHUCU	KEPERCAYAAN	JML_DUK
7302	BULUKUMBA	730206	KAJANG	7302062015	SAPANANG	1097	1004	2093	7	0	1	0	0	0	2101
7302	BULUKUMBA	730206	KAJANG	7302062016	SANGKALA	1433	1393	2824	2	0	0	0	0	0	2826
7302	BULUKUMBA	730206	KAJANG	7302062017	LEMBANGLOHE	1296	1421	2716	1	0	0	0	0	0	2717
7302	BULUKUMBA	730206	KAJANG	7302062019	PANTAMA	1366	1409	2775	0	0	0	0	0	0	2775
7302	BULUKUMBA	730206	KAJANG	7302062118	LOLISANG	1307	1333	2639	1	0	0	0	0	0	2640
7302	BULUKUMBA	730207	BULUKUMPA	7302071001	TANETE	3260	3387	6646	1	0	0	0	0	0	6647
7302	BULUKUMBA	730207	BULUKUMPA	7302071002	JAWI - JAWI	3014	3048	6052	8	0	2	0	0	0	6062
7302	BULUKUMBA	730207	BULUKUMPA	7302071003	BALLASARAJA	1991	2082	4073	0	0	0	0	0	0	4073
7302	BULUKUMBA	730207	BULUKUMPA	7302072004	BONTO BULAENG	1986	2160	4146	0	0	0	0	0	0	4146
7302	BULUKUMBA	730207	BULUKUMPA	7302072005	BULO-BULO	1938	2079	4016	1	0	0	0	0	0	4017
7302	BULUKUMBA	730207	BULUKUMPA	7302072006	BONTO MINASA	2037	2161	4193	5	0	0	0	0	0	4198
7302	BULUKUMBA	730207	BULUKUMPA	7302072007	BALANG TAROANG	1335	1431	2763	2	0	1	0	0	0	2766
7302	BULUKUMBA	730207	BULUKUMPA	7302072008	BARUGAE	1749	1748	3497	0	0	0	0	0	0	3497
7302	BULUKUMBA	730207	BULUKUMPA	7302072009	SALASSAE	2009	1953	3960	2	0	0	0	0	0	3962
7302	BULUKUMBA	730207	BULUKUMPA	7302072010	KAMBUNO	2096	2243	4338	1	0	0	0	0	0	4339
7302	BULUKUMBA	730207	BULUKUMPA	7302072011	JOJJOLO	2558	2752	5307	1	0	2	0	0	0	5310
7302	BULUKUMBA	730207	BULUKUMPA	7302072012	SAPO BONTO	2410	2433	4843	0	0	0	0	0	0	4843
7302	BULUKUMBA	730207	BULUKUMPA	7302072013	TIBONA	2201	2098	4287	6	5	1	0	0	0	4299
7302	BULUKUMBA	730207	BULUKUMPA	7302072014	BALANG PESOANG	1551	1474	3023	2	0	0	0	0	0	3025
7302	BULUKUMBA	730207	BULUKUMPA	7302072015	BATULOHE	1051	1130	2181	0	0	0	0	0	0	2181
7302	BULUKUMBA	730207	BULUKUMPA	7302072016	BONTOMANGIRING	1251	1382	2632	1	0	0	0	0	0	2633
7302	BULUKUMBA	730207	BULUKUMPA	7302072017	BARUGA RIATTANG	315	344	659	0	0	0	0	0	0	659
7302	BULUKUMBA	730208	KINDANG	7302082001	BORONG RAPPOA	2431	2473	4900	3	0	1	0	0	0	4904
7302	BULUKUMBA	730208	KINDANG	7302082002	MATTIROWALIE	2352	2362	4712	2	0	0	0	0	0	4714
7302	BULUKUMBA	730208	KINDANG	7302082003	KINDANG	2641	2637	5276	2	0	0	0	0	0	5278
7302	BULUKUMBA	730208	KINDANG	7302082004	ANRIHUA	2509	2536	5041	4	0	0	0	0	0	5045
7302	BULUKUMBA	730208	KINDANG	7302082005	TAMAONA	1601	1737	3337	1	0	0	0	0	0	3338
7302	BULUKUMBA	730208	KINDANG	7302082006	BENTENG PALIOI	2908	2944	5850	2	0	0	0	0	0	5852
7302	BULUKUMBA	730208	KINDANG	7302082007	BALIBO	1766	1790	3547	8	0	0	1	0	0	3556
7302	BULUKUMBA	730208	KINDANG	7302082008	GARUNTUNGAN	1693	1734	3427	0	0	0	0	0	0	3427
